31,26,59
115,102,192
117,94,238
92,91,96
50,41,101
197,189,242
115,93,236
142,140,156
40,39,45
33,27,67
143,127,238
118,96,239
86,71,172
112,101,191
208,203,243
115,97,240
211,206,245
38,32,77
114,93,239
29,25,60
198,191,243
19,16,41
89,73,182
43,37,81
114,95,239
110,99,190
87,74,177
115,98,237
81,68,165
112,94,236
202,196,242
120,182,198
178,228,242
123,214,238
70,142,163
57,108,122
21,35,39
165,225,241
106,211,239
190,229,240
86,176,200
90,105,110
115,210,235
122,181,197
63,126,144
43,86,99
147,168,175
47,54,57
125,212,236
102,205,235
51,79,88
139,217,239
116,121,123
113,131,136
92,154,172
118,181,197
73,79,81
131,213,235
42,48,51
98,206,235
157,220,236
165,207,218
100,208,236
43,47,49
103,212,240
145,217,236
95,199,228
119,184,200
96,206,235
96,207,236
93,132,142
41,88,100
85,173,196
96,208,237
68,120,133
186,231,242
171,186,190
46,72,79
95,207,235
123,179,195
22,42,48
109,205,233
96,184,211
180,227,240
199,231,240
135,212,234
198,208,211
167,221,236
105,203,233
120,207,232
106,205,233
109,184,201
196,235,245
118,219,244
18,43,49
88,210,241
136,160,166
92,213,243
228,241,245
122,139,144
89,211,241
86,207,238
89,211,241
117,184,201
96,210,238
124,217,241
120,217,241
43,95,109
109,119,121
95,210,238
9,19,23
115,216,241
161,203,214
73,162,186
18,40,46
123,181,196
233,242,245
98,199,226
103,206,234
191,226,236
103,207,234
139,219,240
177,227,240
220,234,238
122,162,172
121,200,220
106,211,238
114,183,201
37,83,96
81,184,212
92,210,241
142,223,244
20,45,53
22,51,59
91,208,240
125,217,241
91,208,239
98,191,215
89,205,237
119,180,195
179,228,241
200,229,236
35,69,78
142,217,237
193,232,242
139,215,235
160,221,237
107,172,188
163,221,237
16,31,35
116,158,170
116,182,198
199,235,244
205,221,225
158,225,241
97,205,232
100,208,236
91,188,213
55,115,130
226,236,239
102,211,238
17,35,40
223,240,244
114,180,196
61,113,126
179,227,239
47,98,112
143,221,242
107,208,234
99,207,237
93,195,223
119,175,190
39,41,43
120,217,242
141,218,238
122,183,198
106,179,198
95,198,225
116,158,169
88,161,179
36,74,84
